INSTANCE,DEF,MAXP,MAXPW,MINW,CCA,KNN,LOGREG,MLPC,RF,SVM
GA-MAXPW_EASY_100_039.kp,150,362,1141,410,1141,1141,1141,1141,979,1141
GA-MAXPW_EASY_100_040.kp,193,350,1150,380,380,1014,1150,1054,1014,1054
GA-MAXPW_EASY_100_041.kp,167,507,1294,525,1294,1294,1294,1294,1294,1294
GA-MAXPW_EASY_100_042.kp,256,335,1007,351,759,759,1007,879,765,1007
GA-MAXPW_EASY_100_043.kp,214,128,1106,384,1106,384,1106,1106,822,384
GA-MAXPW_EASY_100_044.kp,54,289,1080,329,289,289,329,289,289,289
GA-MAXPW_EASY_100_045.kp,127,127,959,233,959,959,959,959,959,959
GA-MAXPW_EASY_100_046.kp,138,128,941,184,874,889,941,889,428,941
GA-MAXPW_EASY_100_047.kp,129,234,1050,324,1058,1050,1050,1058,496,1050
GA-MAXPW_EASY_100_048.kp,256,286,988,262,988,988,988,988,988,932
GA-MAXPW_EASY_100_049.kp,180,198,957,209,896,896,957,198,198,896
GA-MAXPW_EASY_100_050.kp,103,210,1164,417,1164,1164,1164,1164,1164,1164
GA-MAXPW_EASY_100_051.kp,132,383,1099,334,1099,1099,1099,1099,1099,1099
GA-MAXPW_EASY_100_052.kp,187,386,1208,352,1208,1208,1208,1208,1208,1208
GA-MAXPW_EASY_100_053.kp,217,248,1095,308,535,1095,1095,1095,308,1095
GA-MAXPW_EASY_100_054.kp,210,477,1178,426,1071,1178,1178,1178,981,1178
GA-MAXPW_EASY_100_055.kp,246,249,992,278,314,314,992,682,314,682
GA-MAXPW_EASY_100_056.kp,160,133,985,239,985,985,985,985,985,985
GA-MAXPW_EASY_100_057.kp,339,357,1219,444,1219,1219,1219,1219,1219,1219
GA-MAXPW_EASY_100_058.kp,349,256,1229,460,1229,1229,1229,1229,1229,1229
GA-MAXPW_EASY_100_059.kp,231,499,1274,495,495,495,1274,495,495,495
GA-MAXPW_EASY_100_060.kp,11,184,1029,302,1029,1029,1029,1029,1018,1029
GA-MAXPW_EASY_100_061.kp,262,253,1043,305,483,253,1043,832,136,832
GA-MAXPW_EASY_100_062.kp,288,194,1143,391,1143,1143,1143,1143,1143,1143
