"INSTANCE","WEIGHT","PROFIT","CORRELATION","DEF","MAXP","MAXPW","MINW","MARK","BEST","ORACLE"
"GA-MaxProfitPerWeight_50_090.kp",0.559,0.477,0.549,487,631,1202,630,496,"MAXPW",1202
"GA-MaxProfitPerWeight_50_091.kp",0.461,0.496,0.612,372,748,1365,801,486,"MAXPW",1365
"GA-MaxProfitPerWeight_50_092.kp",0.474,0.514,0.588,320,751,1334,762,NA,"MAXPW",1334
"GA-MaxProfitPerWeight_50_093.kp",0.383,0.519,0.568,540,957,1657,1074,471,"MAXPW",1657
"GA-MaxProfitPerWeight_50_094.kp",0.481,0.523,0.626,503,621,1257,644,575,"MAXPW",1257
"GA-MaxProfitPerWeight_50_095.kp",0.474,0.546,0.578,482,632,1413,718,462,"MAXPW",1413
"GA-MaxProfitPerWeight_50_096.kp",0.471,0.535,0.622,303,721,1371,798,582,"MAXPW",1371
"GA-MaxProfitPerWeight_50_097.kp",0.444,0.588,0.558,512,882,1617,947,502,"MAXPW",1617
"GA-MaxProfitPerWeight_50_098.kp",0.479,0.53,0.65,485,565,NA,642,503,"MINW",642
"GA-MaxProfitPerWeight_50_099.kp",0.388,0.501,0.61,479,NA,1457,893,435,"MAXPW",1457
"GA-MaxProfit_50_000.kp",0.62,0.428,0.409,247,851,799,665,522,"MAXP",851
"GA-MaxProfit_50_001.kp",0.566,0.493,0.425,663,1261,1210,1084,NA,"MAXP",1261
"GA-MaxProfit_50_002.kp",0.598,0.529,0.412,375,NA,1041,800,431,"MAXPW",1041
"GA-MaxProfit_50_003.kp",0.608,0.406,0.423,431,NA,1001,780,518,"MAXPW",1001
"GA-MaxProfit_50_004.kp",0.576,0.453,0.478,352,1051,1009,715,385,"MAXP",1051
"GA-MaxProfit_50_005.kp",0.577,0.514,0.356,451,1505,1465,1389,402,"MAXP",1505
"GA-MaxProfit_50_006.kp",0.616,0.451,0.395,305,1077,1041,857,442,"MAXP",1077
"GA-MaxProfit_50_007.kp",0.573,0.364,0.578,170,NA,762,481,409,"MAXPW",762
"GA-MaxProfit_50_008.kp",0.574,0.365,0.449,273,960,927,771,410,"MAXP",960
"GA-MaxProfit_50_009.kp",0.549,0.513,0.54,NA,1185,1158,939,432,"MAXP",1185
"GA-MaxProfit_50_010.kp",0.532,0.462,0.322,581,1514,NA,1449,490,"MAXP",1514
"GA-MaxProfit_50_011.kp",0.605,0.485,0.512,266,782,752,NA,439,"MAXP",782
"GA-MaxProfit_50_012.kp",0.652,0.501,0.449,528,939,913,644,NA,"MAXP",939
"GA-MaxProfit_50_013.kp",0.667,0.455,0.292,246,1050,995,820,422,"MAXP",1050
"GA-MaxProfit_50_014.kp",0.586,0.474,0.483,307,1143,1080,965,443,"MAXP",1143
"GA-MaxProfit_50_015.kp",0.644,0.507,0.536,NA,980,947,765,419,"MAXP",980
"GA-MaxProfit_50_016.kp",0.605,0.428,0.355,496,955,NA,798,570,"MAXP",955
"GA-MaxProfit_50_017.kp",0.6,0.512,0.449,NA,958,935,790,457,"MAXP",958
"GA-MaxProfit_50_018.kp",0.497,0.485,0.43,456,1542,1492,1210,547,"MAXP",1542
"GA-MaxProfit_50_019.kp",0.6,0.434,0.397,211,1188,1158,1068,406,"MAXP",1188
"GA-MaxProfit_50_020.kp",0.594,0.52,0.325,NA,1180,1142,1005,405,"MAXP",1180
"GA-MaxProfit_50_021.kp",0.575,0.448,0.375,293,988,952,808,569,"MAXP",988
"GA-MaxProfit_50_022.kp",0.654,0.441,0.517,472,835,798,570,440,"MAXP",835
"GA-MaxProfit_50_023.kp",0.589,0.499,0.429,NA,1143,1095,844,406,"MAXP",1143
"GA-MaxProfit_50_024.kp",0.556,0.496,0.376,468,1327,1297,1166,417,"MAXP",1327
"GA-MaxProfit_50_025.kp",0.613,0.391,0.4,283,937,861,796,391,"MAXP",937
"GA-MaxProfit_50_026.kp",0.565,0.463,0.544,291,835,805,451,563,"MAXP",835
"GA-MaxProfit_50_027.kp",0.656,0.447,0.456,172,908,856,656,NA,"MAXP",908
