INSTANCE,DEF,MAXP,MAXPW,MINW,PBMH,GA
GA-MAXP_EASY_100_075,388,769,692,601,769.0,438.0
GA-MAXP_EASY_100_076,400,854,781,554,854.0,574.0
GA-MAXP_EASY_100_077,172,948,882,696,948.0,678.0
GA-MAXP_EASY_100_078,413,813,729,638,813.0,677.0
GA-MAXP_EASY_100_079,324,848,782,607,848.0,616.0
GA-MAXP_EASY_100_080,254,957,882,771,957.0,616.0
GA-MAXP_EASY_100_081,197,634,554,468,634.0,516.0
GA-MAXP_EASY_100_082,119,672,587,587,672.0,474.0
GA-MAXP_EASY_100_083,288,729,650,542,729.0,440.0
GA-MAXP_EASY_100_084,338,1135,1051,1051,1135.0,653.0
GA-MAXP_EASY_100_085,96,533,445,359,533.0,292.0
GA-MAXP_EASY_100_086,239,868,799,799,868.0,535.0
GA-MAXP_EASY_100_087,168,780,711,510,780.0,441.0
GA-MAXP_EASY_100_088,65,903,810,810,903.0,599.0
GA-MAXP_EASY_100_089,244,767,700,448,767.0,548.0
GA-MAXP_EASY_100_090,144,818,743,658,818.0,473.0
GA-MAXP_EASY_100_091,359,1084,994,994,1084.0,678.0
GA-MAXP_EASY_100_092,363,845,768,768,877.0,620.0
GA-MAXP_EASY_100_093,332,754,666,581,754.0,664.0
GA-MAXP_EASY_100_094,294,764,695,506,764.0,540.0
GA-MAXP_EASY_100_095,485,971,896,789,971.0,827.0
GA-MAXP_EASY_100_096,58,774,703,603,774.0,706.0
GA-MAXP_EASY_100_097,284,782,721,646,782.0,563.0
GA-MAXP_EASY_100_098,114,686,614,537,686.0,565.0
GA-MAXP_EASY_100_099,143,840,768,726,840.0,625.0
GA-MINW_EASY_100_000,420,520,1186,1262,1262.0,1023.0
GA-MINW_EASY_100_001,286,327,715,782,791.0,491.0
GA-MINW_EASY_100_002,229,275,1000,1062,1062.0,605.0
GA-MINW_EASY_100_003,431,872,954,1015,1015.0,858.0
GA-MINW_EASY_100_004,207,535,925,986,986.0,724.0
GA-MINW_EASY_100_005,479,721,1165,1233,1233.0,905.0
GA-MINW_EASY_100_006,83,446,1140,1222,1222.0,921.0
GA-MINW_EASY_100_007,283,475,883,948,948.0,585.0
GA-MINW_EASY_100_008,391,488,1285,1354,1354.0,789.0
GA-MINW_EASY_100_009,207,454,1038,1108,1108.0,841.0
GA-MINW_EASY_100_010,285,590,1441,1511,1511.0,1331.0
GA-MINW_EASY_100_011,330,585,934,996,996.0,568.0
GA-MINW_EASY_100_012,283,380,875,941,941.0,684.0
GA-MINW_EASY_100_013,85,375,1007,1075,1075.0,646.0
GA-MINW_EASY_100_014,71,380,1014,1096,1096.0,608.0
GA-MINW_EASY_100_015,213,822,1284,1346,1346.0,913.0
GA-MINW_EASY_100_016,342,536,1013,1088,1090.0,723.0
GA-MINW_EASY_100_017,350,128,1130,1202,1202.0,766.0
GA-MINW_EASY_100_018,378,481,1140,1219,1219.0,984.0
GA-MINW_EASY_100_019,232,518,970,1053,1053.0,588.0
GA-MINW_EASY_100_020,127,420,911,985,985.0,677.0
GA-MINW_EASY_100_021,343,345,1250,1316,1324.0,782.0
GA-MINW_EASY_100_022,399,595,922,981,981.0,609.0
GA-MINW_EASY_100_023,341,203,911,986,999.0,831.0
GA-MINW_EASY_100_024,355,714,1062,1127,1127.0,740.0
GA-MINW_EASY_100_025,194,720,1162,1221,1221.0,696.0
GA-MINW_EASY_100_026,400,457,957,1022,1022.0,640.0
GA-MINW_EASY_100_027,439,366,1209,1281,1281.0,770.0
GA-MINW_EASY_100_028,202,469,974,1046,1046.0,717.0
GA-MINW_EASY_100_029,539,767,1019,1086,1086.0,836.0
GA-MINW_EASY_100_030,326,586,975,1040,1040.0,848.0
GA-MINW_EASY_100_031,176,611,1240,1307,1307.0,1005.0
GA-MINW_EASY_100_032,330,146,876,956,956.0,853.0
GA-MINW_EASY_100_033,771,573,1095,1157,1173.0,853.0
GA-MINW_EASY_100_034,416,715,1001,1074,1074.0,881.0
GA-MINW_EASY_100_035,559,361,978,1039,1039.0,960.0
GA-MINW_EASY_100_036,127,251,901,965,965.0,674.0
GA-MINW_EASY_100_037,499,610,1094,1165,1165.0,921.0
GA-MINW_EASY_100_038,189,327,737,810,810.0,588.0
GA-MINW_EASY_100_039,420,297,1030,1097,1109.0,738.0
GA-MINW_EASY_100_040,394,593,1047,1117,1117.0,950.0
GA-MINW_EASY_100_041,205,421,885,953,953.0,651.0
GA-MINW_EASY_100_042,246,463,998,1076,1076.0,685.0
GA-MINW_EASY_100_043,359,478,1023,1099,1099.0,655.0
GA-MINW_EASY_100_044,498,676,1011,1073,1073.0,836.0
GA-MINW_EASY_100_045,371,312,810,888,895.0,594.0
GA-MINW_EASY_100_046,269,839,1270,1333,1333.0,830.0
GA-MINW_EASY_100_047,420,674,949,1013,1013.0,907.0
GA-MINW_EASY_100_048,589,472,1276,1335,1335.0,869.0
GA-MINW_EASY_100_049,155,332,887,957,957.0,649.0
GA-MINW_EASY_100_050,320,213,738,804,804.0,645.0
GA-MINW_EASY_100_051,369,279,1101,1173,1177.0,649.0
GA-MINW_EASY_100_052,483,504,1263,1341,1341.0,1013.0
GA-MINW_EASY_100_053,348,296,903,964,964.0,518.0
GA-MINW_EASY_100_054,241,468,915,969,969.0,538.0
GA-MINW_EASY_100_055,286,979,1003,1072,1072.0,769.0
GA-MINW_EASY_100_056,233,435,878,942,942.0,612.0
GA-MINW_EASY_100_057,235,437,801,877,877.0,567.0
GA-MINW_EASY_100_058,149,490,944,1007,1010.0,704.0
GA-MINW_EASY_100_059,792,784,1071,1130,1130.0,840.0
GA-MINW_EASY_100_060,412,552,1105,1178,1178.0,1144.0
GA-MINW_EASY_100_061,257,378,1162,1237,1237.0,834.0
GA-MINW_EASY_100_062,167,680,1272,1340,1340.0,716.0
GA-MINW_EASY_100_063,405,745,1325,1382,1393.0,773.0
GA-MINW_EASY_100_064,151,392,976,1053,1053.0,576.0
GA-MINW_EASY_100_065,357,550,986,1058,1058.0,528.0
GA-MINW_EASY_100_066,263,647,866,930,930.0,679.0
GA-MINW_EASY_100_067,209,478,1011,1075,1075.0,574.0
GA-MINW_EASY_100_068,83,243,626,686,686.0,520.0
GA-MINW_EASY_100_069,628,587,985,1048,1056.0,656.0
GA-MINW_EASY_100_070,388,500,1123,1195,1195.0,675.0
GA-MINW_EASY_100_071,698,793,1207,1283,1283.0,729.0
GA-MINW_EASY_100_072,371,496,911,977,977.0,689.0
GA-MINW_EASY_100_073,283,599,1157,1220,1226.0,1034.0
GA-MINW_EASY_100_074,401,377,1154,1220,1220.0,805.0
