INSTANCE,DEF,MAXP,MAXPW,MINW,CCA,KNN,LOGREG,MLPC,RF,SVM
GA-MAXPW_EASY_100_054.kp,210,477,1178,426,1178,1178,1178,1178,1178,1178
GA-MAXPW_EASY_100_055.kp,246,249,992,278,992,992,992,992,249,992
GA-MAXPW_EASY_100_056.kp,160,133,985,239,985,985,985,985,985,985
GA-MAXPW_EASY_100_057.kp,339,357,1219,444,1219,1219,1219,1219,1219,1219
GA-MAXPW_EASY_100_058.kp,349,256,1229,460,1229,1229,1229,1229,1229,1229
GA-MAXPW_EASY_100_059.kp,231,499,1274,495,1274,495,1274,1274,495,495
GA-MAXPW_EASY_100_060.kp,11,184,1029,302,1029,1029,1029,1029,1029,1029
GA-MAXPW_EASY_100_061.kp,262,253,1043,305,1043,1043,1043,1043,253,1043
GA-MAXPW_EASY_100_062.kp,288,194,1143,391,1143,1143,1143,1143,1143,1143
GA-MAXPW_EASY_100_063.kp,305,398,1206,401,401,1206,1206,1206,1206,1206
GA-MAXPW_EASY_100_064.kp,56,379,1117,371,371,1117,1117,1117,1117,1117
GA-MAXPW_EASY_100_065.kp,277,255,1022,318,1022,1022,1022,1022,1022,1022
GA-MAXPW_EASY_100_066.kp,49,256,1320,536,1320,1320,1320,1320,1320,1320
GA-MAXPW_EASY_100_067.kp,111,286,1010,251,1010,1010,1010,1010,1010,1010
GA-MAXPW_EASY_100_068.kp,98,343,1132,334,1132,1132,1132,1132,1132,1132
GA-MAXPW_EASY_100_069.kp,243,308,1076,342,1076,1076,1076,1076,1076,1076
GA-MAXPW_EASY_100_070.kp,351,127,1194,459,1194,1194,1194,1194,1194,1194
GA-MAXPW_EASY_100_071.kp,331,312,1085,324,1085,1085,1085,1085,1085,1085
GA-MAXPW_EASY_100_072.kp,343,296,1125,351,1125,1125,1125,1125,1125,1125
GA-MAXPW_EASY_100_073.kp,320,379,1167,331,1167,1167,1167,1167,1167,1167
GA-MAXPW_EASY_100_074.kp,479,358,1211,475,1211,1211,1211,1211,1211,1211
GA-MAXPW_EASY_100_075.kp,101,128,1002,292,1002,1002,1002,1002,1002,1002
GA-MAXPW_EASY_100_076.kp,16,308,1037,307,307,1037,1037,1037,1037,1037
GA-MAXPW_EASY_100_077.kp,229,198,1139,396,1139,1139,1139,1139,1139,1139
GA-MAXPW_EASY_100_078.kp,270,303,1035,308,1035,1035,1035,1035,1035,1035
GA-MAXPW_EASY_100_079.kp,240,151,1053,326,1053,1053,1053,1053,1053,1053
GA-MAXPW_EASY_100_080.kp,159,269,1022,290,290,1022,1022,1022,1022,1022
GA-MAXPW_EASY_100_081.kp,232,354,1302,507,507,1302,1302,1302,1302,1302
GA-MAXPW_EASY_100_082.kp,148,250,1076,326,1076,1076,1076,1076,1076,1076
GA-MAXPW_EASY_100_083.kp,151,402,1128,408,1128,1128,1128,1128,1128,1128
GA-MAXPW_EASY_100_084.kp,147,523,1330,623,623,1330,1330,1330,623,1330
GA-MAXPW_EASY_100_085.kp,155,128,1062,337,1062,1062,1062,1062,1062,1062
GA-MAXPW_EASY_100_086.kp,113,128,1344,614,614,1344,1344,1344,1344,1344
GA-MAXPW_EASY_100_087.kp,384,479,1285,435,435,1285,1285,1285,1285,1285
GA-MAXPW_EASY_100_088.kp,306,380,1173,450,1173,1173,1173,1173,1173,1173
GA-MAXPW_EASY_100_089.kp,139,199,1043,220,1043,1043,1043,1043,1043,1043
GA-MAXPW_EASY_100_090.kp,315,219,1076,355,1076,1076,1076,1076,1076,1076
GA-MAXPW_EASY_100_091.kp,386,721,1476,727,1476,1476,1476,1476,1476,1476
GA-MAXPW_EASY_100_092.kp,297,382,1255,539,539,1255,1255,539,1255,539
GA-MAXPW_EASY_100_093.kp,235,290,1116,366,1116,1116,1116,1116,1116,1116
GA-MAXPW_EASY_100_094.kp,155,128,1141,388,1141,1141,1141,1141,1141,1141
GA-MAXPW_EASY_100_095.kp,196,256,1333,575,575,1333,1333,1333,1333,575
GA-MAXPW_EASY_100_096.kp,288,510,1232,513,1232,1232,1232,1232,1232,1232
GA-MAXPW_EASY_100_097.kp,344,255,1275,462,1275,1275,1275,1275,1275,1275
GA-MAXPW_EASY_100_098.kp,422,348,1243,500,500,1243,1243,1243,1243,1243
GA-MAXPW_EASY_100_099.kp,192,289,1108,431,1108,1108,1108,1108,1108,1108
GA-MAXP_EASY_100_000.kp,291,816,734,618,816,816,291,291,816,816
GA-MAXP_EASY_100_001.kp,147,1303,1218,1098,1098,1303,1098,1098,1303,1098
GA-MAXP_EASY_100_002.kp,283,924,853,641,641,924,853,853,924,924
GA-MAXP_EASY_100_003.kp,75,793,734,670,793,793,75,793,793,75
GA-MAXP_EASY_100_004.kp,560,926,842,839,839,926,839,839,926,926
GA-MAXP_EASY_100_005.kp,226,847,785,613,613,847,226,847,847,847
GA-MAXP_EASY_100_006.kp,473,919,842,799,799,919,473,473,919,919
GA-MAXP_EASY_100_007.kp,157,671,598,269,671,671,671,671,671,671
GA-MAXP_EASY_100_008.kp,500,839,763,555,839,839,763,763,839,839
GA-MAXP_EASY_100_009.kp,340,855,780,658,855,855,855,855,855,855
GA-MAXP_EASY_100_010.kp,303,715,650,567,715,715,567,303,715,715
GA-MAXP_EASY_100_011.kp,142,778,709,638,778,778,142,778,778,778
GA-MAXP_EASY_100_012.kp,263,778,713,610,610,778,263,610,778,610
GA-MAXP_EASY_100_013.kp,246,823,752,631,631,823,246,823,823,823
GA-MAXP_EASY_100_014.kp,297,730,660,488,730,730,730,730,730,730
GA-MAXP_EASY_100_015.kp,124,669,596,372,372,669,124,669,669,669
GA-MAXP_EASY_100_016.kp,133,539,450,324,539,539,539,539,539,539
GA-MAXP_EASY_100_017.kp,74,665,580,497,665,665,74,74,665,665
GA-MAXP_EASY_100_018.kp,263,725,624,501,725,725,263,263,725,263
GA-MAXP_EASY_100_019.kp,231,582,510,327,582,582,582,582,582,582
GA-MAXP_EASY_100_020.kp,306,795,712,552,795,795,552,306,795,795
GA-MAXP_EASY_100_021.kp,298,853,761,666,853,853,853,853,853,853
GA-MAXP_EASY_100_022.kp,267,859,777,691,859,859,267,267,859,859
GA-MAXP_EASY_100_023.kp,243,1109,1039,915,915,1109,243,243,1109,1109
GA-MAXP_EASY_100_024.kp,147,828,764,647,828,828,147,147,828,828
GA-MAXP_EASY_100_025.kp,236,995,914,731,995,995,236,995,995,995
GA-MAXP_EASY_100_026.kp,185,656,582,493,656,185,185,656,185,185
GA-MAXP_EASY_100_027.kp,159,565,479,234,565,159,159,565,159,159
GA-MAXP_EASY_100_028.kp,200,744,674,550,744,744,200,200,744,744
GA-MAXP_EASY_100_029.kp,136,516,438,359,516,136,136,516,136,136
GA-MAXP_EASY_100_030.kp,145,751,667,439,751,751,439,145,751,751
GA-MAXP_EASY_100_031.kp,288,661,580,384,661,288,661,661,661,661
GA-MAXP_EASY_100_032.kp,110,646,575,424,424,424,424,424,110,110
GA-MAXP_EASY_100_033.kp,4,808,727,670,670,4,4,4,4,4
GA-MAXP_EASY_100_034.kp,515,864,791,728,728,515,515,515,515,515
GA-MAXP_EASY_100_035.kp,201,1027,942,750,1027,1027,750,750,1027,1027
GA-MAXP_EASY_100_036.kp,331,912,841,667,912,912,912,912,912,912
GA-MAXP_EASY_100_037.kp,378,827,750,634,827,827,378,378,827,827
GA-MAXP_EASY_100_038.kp,319,714,626,626,626,319,319,319,319,319
GA-MAXP_EASY_100_039.kp,110,950,887,798,950,950,110,110,950,950
GA-MAXP_EASY_100_040.kp,238,1054,966,966,966,238,238,1054,238,238
GA-MAXP_EASY_100_041.kp,254,730,658,535,730,730,730,730,730,730
GA-MAXP_EASY_100_042.kp,99,912,837,601,601,912,99,912,912,912
GA-MAXP_EASY_100_043.kp,444,949,867,754,754,444,867,867,949,949
GA-MAXP_EASY_100_044.kp,253,631,563,456,631,253,253,631,253,253
GA-MAXP_EASY_100_045.kp,167,650,587,332,650,650,167,650,650,650
GA-MAXP_EASY_100_046.kp,213,821,750,535,821,213,213,821,821,821
GA-MAXP_EASY_100_047.kp,193,781,700,625,781,781,193,193,781,781
GA-MAXP_EASY_100_048.kp,326,724,655,589,724,724,655,655,724,724
GA-MAXP_EASY_100_049.kp,143,586,522,522,586,586,586,586,586,586
GA-MAXP_EASY_100_050.kp,195,997,923,804,997,997,923,923,997,997
GA-MAXP_EASY_100_051.kp,248,932,853,735,932,932,248,932,932,932
GA-MAXP_EASY_100_052.kp,222,960,883,662,960,960,960,960,960,960
GA-MAXP_EASY_100_053.kp,271,925,835,835,835,835,835,835,835,835
GA-MAXP_EASY_100_054.kp,152,703,635,525,703,152,152,703,703,703
GA-MAXP_EASY_100_055.kp,491,763,689,599,599,763,491,763,491,491
GA-MAXP_EASY_100_056.kp,292,722,633,520,722,722,292,722,722,722
GA-MAXP_EASY_100_057.kp,305,852,772,771,771,305,305,852,305,305
GA-MAXP_EASY_100_058.kp,458,590,522,458,590,458,458,590,458,458
GA-MAXP_EASY_100_059.kp,52,780,686,582,780,52,52,52,780,52
GA-MAXP_EASY_100_060.kp,118,915,848,762,762,915,118,915,915,915
GA-MAXP_EASY_100_061.kp,598,1061,991,888,888,888,888,888,1061,888
GA-MAXP_EASY_100_062.kp,421,1030,955,747,1030,1030,421,421,1030,1030
GA-MAXP_EASY_100_063.kp,249,959,896,666,959,959,959,959,959,959
GA-MAXP_EASY_100_064.kp,229,663,582,425,663,663,663,663,663,663
GA-MAXP_EASY_100_065.kp,178,799,724,612,612,178,178,799,178,178
GA-MAXP_EASY_100_066.kp,299,1033,946,924,924,299,299,299,299,299
GA-MAXP_EASY_100_067.kp,32,699,620,502,502,32,32,32,32,32
GA-MAXP_EASY_100_068.kp,170,787,703,638,787,787,703,787,787,787
GA-MAXP_EASY_100_069.kp,288,745,672,672,745,288,288,745,288,288
GA-MAXP_EASY_100_070.kp,160,803,735,634,803,803,803,803,803,803
GA-MAXP_EASY_100_071.kp,331,1053,975,862,1053,862,862,331,862,1053
GA-MAXP_EASY_100_072.kp,523,749,681,573,749,749,523,523,749,749
GA-MAXP_EASY_100_073.kp,62,941,865,745,941,941,865,941,941,941
GA-MAXP_EASY_100_074.kp,284,677,607,607,677,284,284,677,284,284
GA-MAXP_EASY_100_075.kp,388,769,692,601,769,769,388,769,769,769
GA-MAXP_EASY_100_076.kp,400,854,781,554,854,854,854,854,854,854
GA-MAXP_EASY_100_077.kp,172,948,882,696,948,948,948,948,948,948
GA-MAXP_EASY_100_078.kp,413,813,729,638,813,813,413,813,813,413
GA-MAXP_EASY_100_079.kp,324,848,782,607,848,848,324,324,848,848
GA-MAXP_EASY_100_080.kp,254,957,882,771,771,254,254,254,254,254
GA-MAXP_EASY_100_081.kp,197,634,554,468,468,197,197,197,197,197
GA-MAXP_EASY_100_082.kp,119,672,587,587,672,672,119,119,672,672
GA-MAXP_EASY_100_083.kp,288,729,650,542,729,729,729,729,729,729
GA-MAXP_EASY_100_084.kp,338,1135,1051,1051,1135,1135,1051,1051,1051,1135
GA-MAXP_EASY_100_085.kp,96,533,445,359,533,96,96,533,96,533
GA-MAXP_EASY_100_086.kp,239,868,799,799,868,868,799,239,239,868
GA-MAXP_EASY_100_087.kp,168,780,711,510,780,780,780,780,780,780
GA-MAXP_EASY_100_088.kp,65,903,810,810,903,903,65,65,903,903
GA-MAXP_EASY_100_089.kp,244,767,700,448,767,767,700,767,767,767
GA-MAXP_EASY_100_090.kp,144,818,743,658,818,818,658,144,818,818
GA-MAXP_EASY_100_091.kp,359,1084,994,994,1084,1084,359,359,1084,1084
GA-MAXP_EASY_100_092.kp,363,845,768,768,845,363,363,363,363,363
GA-MAXP_EASY_100_093.kp,332,754,666,581,581,332,332,332,332,332
